ItemCode,ItemName,LastPurDat,ItmsGrpCod,ItmsGrpNam,Categoria_CI,Subcategoria_CI,Bodega,Stock_Bodega,Precio_B2B_Estandar,Precio_B2B_VIP,Precio_B2C,Precio_Promociones_Ecommerce,Ventas_2024,Ventas_2025,Ventas_2026,Ventas_Total_29_5_Meses,Alcance_Inventario_Meses,Alcance_Inventario_Meses_Redondeado
MX:NXD63B120,"Interruptor ND 3P, 1200 A, 600 V 25kA FX NL",2025-07-22,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,1.0,2942.5,2779.0,3269.4,0.0,1.0,1.0,0.0,2.0,14.75,15
MX:QR23B125,"Siemens Low Voltage, var. moldeada caja, interruptor automatico con disparo termomagnetico. QR tamano estandar 40C, interruptor. 125 A 3 polos (10 kA a 240 V). Caracteristicas especiales: Sin",2025-07-22,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CENTROS DE CARGA E INTERRUPTORES,11,1.0,285.0,269.2,316.7,0.0,1.0,0.0,1.0,2.0,14.75,15
MX:SBLBD,KIT DE MONTAJE S5 P/BL/BQD,2025-07-22,105,EQUI.AUTO.Y CONTROL,,,11,1.0,149.816439,134.834795,164.798083,0.0,0.0,0.0,1.0,1.0,29.5,30
US2:CQD360,Interruptor CQD 3P 60 A 480/277V 14 kA DIN,2025-07-22,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,5.0,125.5,118.5,139.4,0.0,7.0,3.0,0.0,10.0,14.75,15
3SU11020AB401BA0,"pulsador luminoso, 22 mm, redondo, plastico, verde, boton, rasante, momentaneo, con soporte, 1 NA, modulo de LED con LED intgr. 24 V AC/DC, borne de tornillo",2025-07-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,BOTONERIA,11,3.0,27.7,26.1,30.7,0.0,1.0,8.0,0.0,9.0,9.833333333333332,10
3SU11036AA401AA0,"lampara de senalizacion, 22 mm, redondo, plastico, verde, lente, liso, con soporte, modulo de LED con LED intgr. 110 V AC, borne de tornillo",2025-07-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,BOTONERIA,11,5.0,23.5,22.2,26.1,0.0,14.0,5.0,0.0,19.0,7.763157894736842,8
A7B10002264076,"SPD1 tipo 1, externo, 240/120 V monofásico, 3 hilos, 50 kA, neutro a tierra",2025-07-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,2.0,152.0,143.5,168.8,0.0,2.0,1.0,0.0,3.0,19.666666666666664,20
US2:CQS2100,BREAKER 100A 2 P 480V,2025-07-21,105,EQUI.AUTO.Y CONTROL,,,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,Infinito
3NA3144,"cartucho de fusibles NH, NH1, Entrada: 250 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusion superior, orejetas energizadas",2025-07-16,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,FUSIBLES,11,3.0,25.1,23.7,27.8,0.0,12.0,8.0,2.0,22.0,4.0227272727272725,4
3RT20461AL20,"contactor de potencia, AC-3e/AC-3, 95 A, 45 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamano: S3",2025-07-16,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,3.0,355.0,335.3,394.5,0.0,7.0,2.0,1.0,10.0,8.85,9
